While fatigue, drowsiness or boredom easily bring on yawns, scientists are discovering there is more to yawning than most people think.|While fatigue, drowsiness or boredom easily bring on yawns, scientists are discovering there is more to yawning than most people think.
Not much is known about why we yawn or if it serves any useful function.|Not much is known about why we yawn or if it serves any useful function.
People have already learned that yawning can be infectious.|People have already learned that yawning can be infectious.
“Contagious yawn” is the increase in likelihood that you will yawn after watching or hearing someone else yawn, but not much is known about the under-lying causes, and very little research has been done on the subject.|“Contagious yawning” is the increase in likelihood that you will yawn after watching or hearing someone else yawn, but not much is known about the under-lying causes, and very little research has been done on the subject.
However, scientists at the University of Albany, as well as the University of Leeds and the University of London have done some exploration.|However, scientists at the University of Albany, as well as the University of Leeds and the University of London have done some exploration.
It is commonly believed that people yawn as a result of being sleepy or tired because they need oxygen.|It is commonly believed that people yawn as a result of being sleepy or tired because they need oxygen.
However, the latest research shows that a yawn can help cool the brain and help it work more effectively, which be quite different from the popular belief that yawning promotes sleep and be a sign of tiredness.|However, the latest research shows that a yawn can help cool the brain and help it work more effectively, which is quite different from the popular belief that yawning promotes sleep and is a sign of tiredness.
Dr. Andrew Gallup and his colleagues at the University of Albany in New York State say their experiments on 44 students showed that raising or lowering oxygen and carbon dioxide levels in the blood did not produce that reaction.|Dr. Andrew Gallup and his colleagues at the University of Albany in New York State said their experiments on 44 students showed that raising or lowering oxygen and carbon dioxide levels in the blood did not produce that reaction.
In the study participants were shown videos of people laughing and yawning, and researchers counted how many times the volunteers responded to the “contagious yawns”.|In the study participants were shown videos of people laughing and yawning, and researchers counted how many times the volunteers responded to the “contagious yawns”.
The researchers found that those who breathed through the nose rather than the mouth were less likely to yawn when watching a video of other people yawning.|The researchers found that those who breathed through the nose rather than the mouth were less likely to yawn when watching a video of other people yawning.
The same effect was found among those who held a cool pack to their forehead, whereas those who held a warm pack yawned while watching the video.|The same effect was found among those who held a cool pack to their forehead, whereas those who held a warm pack yawned while watching the video.
Since yawning occurs when brain temperature rises, sending cool blood to the brain serves to maintain the best levels of mental efficiency.|Since yawning occurs when brain temperature rises, sending cool blood to the brain serves to maintain the best levels of mental efficiency.
Yawning is universal to humans and many animals.|Yawning is universal to humans and many animals.
Cats, dogs and fish yawn just like humans do, but they yawn spontaneously.|Cats, dogs and fish yawn just like humans do, but they yawn spontaneously.
Only humans and chimpanzees, our closest relatives in the animal kingdom, have shown definite contagious yawning.|Only humans and chimpanzees, our closest relatives in the animal kingdom, have shown definite contagious yawning.
Though much of yawn is due to suggestibility, sometimes people do not need to actually see a person yawn to involuntarily yawn themselves: hearing someone yawn or even reading about yawn can cause the same reaction.|Though much of yawning is due to suggestibility, sometimes people do not need to actually see a person yawn to involuntarily yawn themselves: hearing someone yawning or even reading about yawning can cause the same reaction.
However, contagious yawning goes beyond mere suggestibility.|However, contagious yawning goes beyond mere suggestibility.
Recent studies show that contagious yawning is also related to our predisposition toward empathy— the ability to understand and connect with others’ emotional states.|Recent studies show that contagious yawning is also related to our predisposition toward empathy— the ability to understand and connect with others’ emotional states.
So empathy is important, sure, but how could it possibly be related to contagious yawning?|So empathy is important, sure, but how could it possibly be related to contagious yawning?
Leave it up to psychologists at Leeds University in England to answer that.|Leave it up to psychologists at Leeds University in England to answer that.
In their study, researchers selected 40 psychology students and 40 engineering students.|In their study, researchers selected 40 psychology students and 40 engineering students.
Generally, psychology students are more likely to feel empathy for others, while engineering students are thought to be concerned with objects and science.|Generally, psychology students are more likely to feel empathy for others, while engineering students are thought to be concerned with objects and science.
Each student was made to wait individually in a waiting room, along with an undercover assistant who yawned 10 times in as many minutes.|Each student was made to wait individually in a waiting room, along with an undercover assistant who yawned 10 times in as many minutes.
The students were then administered an emotional quotient test: students were shown 40 images of eyes and asked what emotion each one displayed.|The students were then administered an emotional quotient test: students were shown 40 images of eyes and asked what emotion each one displayed.
The results of the test support the idea that contagious yawning is linked to empathy.|The results of the test support the idea that contagious yawning is linked to empathy.
